OG_name,GCF_000277895,GCF_000961215,GCF_001908725,GCF_002285515,GCF_008370835,GCF_008639345,GCF_009769165,GCF_009883735,GCF_009931595,GCF_013388375,GCF_014236795,GCF_017301775,GCF_017724035,GCF_021906995,GCF_023337365,GCF_025266575,GCF_030168915,GCF_031834635,GCF_032697525,GCF_032698475,GCF_033170385,GCF_040529045,GCF_040529055,GCF_040529065,GCF_040616535,GCF_041519315,GCF_900183975,GCF_903989455,GCF_905367715
OG_0,KWO_RS00010,AMD14_RS00490,BJD12_RS12530,XJ27_RS16315,XOCgx_RS00010,FLG15_RS22280,FZ025_RS08750,EBN15_RS00005,XaFJ1_RS00005,AD14011_RS00005,G4Q83_RS18285,ISN38_RS10145,XeaCFBP3836p_RS00005,K8O61_RS00005,M3O59_RS00005,M0D43_RS11415,KHF85_RS00005,PG878_RS00005,NYR97_RS08480,NYR95_RS00005,QN245_RS00005,Q7W82_RS03095,RAB70_RS03210,RAB71_RS00735,RZV17_RS00005,ACDH77_RS00005,PD885_RS00005,H7A86_RS00005,KHN93_RS00005
OG_1,KWO_RS00015,AMD14_RS00495,BJD12_RS12535,XJ27_RS16320,XOCgx_RS00015,FLG15_RS22275,FZ025_RS08755,EBN15_RS00010,XaFJ1_RS00010,AD14011_RS00010,G4Q83_RS18280,ISN38_RS10140,XeaCFBP3836p_RS00010,K8O61_RS00010,M3O59_RS00010,M0D43_RS11410,KHF85_RS00010,PG878_RS00010,NYR97_RS08475,NYR95_RS00010,QN245_RS00010,Q7W82_RS03090,RAB70_RS03215,RAB71_RS00730,RZV17_RS00010,ACDH77_RS00010,PD885_RS00010,H7A86_RS00010,KHN93_RS00010
OG_2,KWO_RS00020,AMD14_RS00500,BJD12_RS12540,XJ27_RS16325,XOCgx_RS00020,FLG15_RS22270,FZ025_RS08760,EBN15_RS00015,XaFJ1_RS00015,AD14011_RS00015,G4Q83_RS18275,ISN38_RS10135,XeaCFBP3836p_RS00015,K8O61_RS00015,M3O59_RS00015,M0D43_RS11405,KHF85_RS00015,PG878_RS00015,NYR97_RS08470,NYR95_RS00015,QN245_RS00015,Q7W82_RS03085,RAB70_RS03220,RAB71_RS00725,RZV17_RS00015,ACDH77_RS00015,PD885_RS00020,H7A86_RS00015,KHN93_RS00015
OG_3,KWO_RS00025,AMD14_RS00505,BJD12_RS12545,XJ27_RS16330,XOCgx_RS00025,FLG15_RS22265,FZ025_RS08765,EBN15_RS00020,XaFJ1_RS00020,AD14011_RS00020,G4Q83_RS18270,ISN38_RS10130,XeaCFBP3836p_RS00020,K8O61_RS00020,M3O59_RS00020,M0D43_RS11400,KHF85_RS00020,PG878_RS00020,NYR97_RS08465,NYR95_RS00020,QN245_RS00020,Q7W82_RS03080,RAB70_RS03225,RAB71_RS00720,RZV17_RS00020,ACDH77_RS00020,PD885_RS00025,H7A86_RS00020,KHN93_RS00020
OG_4,KWO_RS00030,AMD14_RS00510,BJD12_RS12550,XJ27_RS16335,XOCgx_RS00030,FLG15_RS22260,FZ025_RS08770,EBN15_RS00025,XaFJ1_RS00025,AD14011_RS00025,G4Q83_RS18265,ISN38_RS10125,XeaCFBP3836p_RS00025,K8O61_RS00025,M3O59_RS00025,M0D43_RS11395,KHF85_RS00025,PG878_RS00025,NYR97_RS08460,NYR95_RS00025,QN245_RS00025,Q7W82_RS03075,RAB70_RS03230,RAB71_RS00715,RZV17_RS00025,ACDH77_RS00025,PD885_RS00030,H7A86_RS00025,KHN93_RS00025
OG_5,KWO_RS00035,AMD14_RS00515,BJD12_RS12555,XJ27_RS16340,XOCgx_RS00035,FLG15_RS22255,FZ025_RS08775,EBN15_RS00030,XaFJ1_RS00030,AD14011_RS00030,G4Q83_RS18260,ISN38_RS10120,XeaCFBP3836p_RS00030,K8O61_RS00030,M3O59_RS00030,M0D43_RS11390,KHF85_RS00030,PG878_RS00030,NYR97_RS08455,NYR95_RS00030,QN245_RS00030,Q7W82_RS03070,RAB70_RS03235,RAB71_RS00710,RZV17_RS00030,ACDH77_RS00030,PD885_RS00035,H7A86_RS00030,KHN93_RS00030
OG_6,KWO_RS00040,AMD14_RS00520,BJD12_RS12560,XJ27_RS16345,XOCgx_RS00040,FLG15_RS22250,FZ025_RS08780,EBN15_RS00035,XaFJ1_RS00035,AD14011_RS00035,G4Q83_RS18255,ISN38_RS10115,XeaCFBP3836p_RS00035,K8O61_RS00035,M3O59_RS00035,M0D43_RS11385,KHF85_RS00035,PG878_RS00035,NYR97_RS08450,NYR95_RS00035,QN245_RS00035,Q7W82_RS03065,RAB70_RS03240,RAB71_RS00705,RZV17_RS00035,ACDH77_RS00035,PD885_RS00040,H7A86_RS00035,KHN93_RS00035
OG_7,KWO_RS00045,AMD14_RS00525,BJD12_RS12565,XJ27_RS16350,XOCgx_RS00045,FLG15_RS22245,FZ025_RS08785,EBN15_RS00040,XaFJ1_RS00040,AD14011_RS00040,G4Q83_RS18250,ISN38_RS10110,XeaCFBP3836p_RS00040,K8O61_RS00040,M3O59_RS00040,M0D43_RS11380,KHF85_RS00040,PG878_RS00040,NYR97_RS08445,NYR95_RS00040,QN245_RS00040,Q7W82_RS03060,RAB70_RS03245,RAB71_RS00700,RZV17_RS00040,ACDH77_RS00040,PD885_RS00045,H7A86_RS00040,KHN93_RS00040
OG_8,KWO_RS00050,AMD14_RS00530,BJD12_RS12570,XJ27_RS16355,XOCgx_RS00050,FLG15_RS22240,FZ025_RS08790,EBN15_RS00045,XaFJ1_RS00045,AD14011_RS00045,G4Q83_RS18245,ISN38_RS10105,XeaCFBP3836p_RS00045,K8O61_RS00045,M3O59_RS00045,M0D43_RS11375,KHF85_RS00045,PG878_RS00045,NYR97_RS08440,NYR95_RS00045,QN245_RS00045,Q7W82_RS03055,RAB70_RS03250,RAB71_RS00695,RZV17_RS00045,ACDH77_RS00045,PD885_RS00050,H7A86_RS00045,KHN93_RS00045
OG_9,KWO_RS00055,AMD14_RS00535,BJD12_RS12575,XJ27_RS16360,XOCgx_RS00055,FLG15_RS22235,FZ025_RS08795,EBN15_RS00050,XaFJ1_RS00050,AD14011_RS00050,G4Q83_RS18240,ISN38_RS10100,XeaCFBP3836p_RS00050,K8O61_RS00050,M3O59_RS00050,M0D43_RS11370,KHF85_RS00050,PG878_RS00050,NYR97_RS08435,NYR95_RS00050,QN245_RS00050,Q7W82_RS03050,RAB70_RS03255,RAB71_RS00690,RZV17_RS00050,ACDH77_RS00050,PD885_RS00055,H7A86_RS00050,KHN93_RS00050
